sensorId,timestamp,co2,humidity,light,motion,temperature
sensor24,2025-11-18T03:12:09Z,584.00,39.00,0.00,0.00,20.10
sensor24,2025-11-18T03:17:09Z,589.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T03:22:09Z,567.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T03:27:09Z,579.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T03:32:09Z,567.00,39.00,0.00,0.00,20.00
sensor24,2025-11-18T03:37:09Z,558.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T03:42:09Z,559.00,38.00,0.00,0.00,20.10
sensor24,2025-11-18T03:52:09Z,555.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T03:57:09Z,553.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:02:09Z,544.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:07:09Z,549.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:12:09Z,541.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:17:09Z,545.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:22:09Z,534.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:27:09Z,536.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:32:09Z,526.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:37:09Z,524.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:42:09Z,530.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:47:09Z,526.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:52:09Z,517.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T04:57:09Z,518.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T05:02:09Z,527.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T05:07:09Z,509.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T05:12:09Z,511.00,38.00,0.00,0.00,20.00
sensor24,2025-11-18T05:17:09Z,510.00,37.00,0.00,0.00,20.00
sensor24,2025-11-18T05:22:09Z,518.00,37.00,0.00,0.00,20.00
